,Gene Symbol
0,A1CF
1,ABI1
2,ABL1
3,ABL2
4,ACKR3
5,ACSL3
6,ACSL6
7,ACVR1
8,ACVR1B
9,ACVR2A
10,AFDN
11,AFF1
12,AFF3
13,AFF4
14,AKAP9
15,AKT1
16,AKT2
17,AKT3
18,ALDH2
19,ALK
20,AMER1
21,ANK1
22,APC
23,APOBEC3B
24,AR
25,ARAF
26,ARHGAP26
27,ARHGAP35
28,ARHGAP5
29,ARHGEF10
30,ARHGEF10L
31,ARHGEF12
32,ARID1A
33,ARID1B
34,ARID2
35,ARNT
36,ASPM
37,ASPSCR1
38,ASXL1
39,ASXL2
40,ATF1
41,ATIC
42,ATM
43,ATP1A1
44,ATP2B3
45,ATR
46,ATRX
47,AXIN1
48,AXIN2
49,B2M
50,BAP1
51,BARD1
52,BAX
53,BAZ1A
54,BCL10
55,BCL11A
56,BCL11B
57,BCL2
58,BCL2L12
59,BCL3
60,BCL6
61,BCL7A
62,BCL9
63,BCL9L
64,BCLAF1
65,BCOR
66,BCORL1
67,BCR
68,BIRC3
69,BIRC6
70,BLM
71,BMP5
72,BMPR1A
73,BRAF
74,BRCA1
75,BRCA2
76,BRD3
77,BRD4
78,BRIP1
79,BTG1
80,BTG2
81,BTK
82,BUB1B
83,C15orf65
84,CACNA1D
85,CALR
86,CAMTA1
87,CANT1
88,CARD11
89,CARS
90,CASP3
91,CASP8
92,CASP9
93,CBFA2T3
94,CBFB
95,CBL
96,CBLB
97,CBLC
98,CCDC6
99,CCNB1IP1
100,CCNC
101,CCND1
102,CCND2
103,CCND3
104,CCNE1
105,CCR4
106,CCR7
107,CD209
108,CD274
109,CD28
110,CD74
111,CD79A
112,CD79B
113,CDC73
114,CDH1
115,CDH10
116,CDH11
117,CDH17
118,CDK12
119,CDK4
120,CDK6
121,CDKN1A
122,CDKN1B
123,CDKN2A
124,CDKN2C
125,CDX2
126,CEBPA
127,CEP89
128,CHCHD7
129,CHD2
130,CHD4
131,CHEK2
132,CHIC2
133,CHST11
134,CIC
135,CIITA
136,CLIP1
137,CLP1
138,CLTC
139,CLTCL1
140,CNBD1
141,CNBP
142,CNOT3
143,CNTNAP2
144,CNTRL
145,COL1A1
146,COL2A1
147,COL3A1
148,COX6C
149,CPEB3
150,CREB1
151,CREB3L1
152,CREB3L2
153,CREBBP
154,CRLF2
155,CRNKL1
156,CRTC1
157,CRTC3
158,CSF1R
159,CSF3R
160,CSMD3
161,CTCF
162,CTNNA1
163,CTNNA2
164,CTNNB1
165,CTNND1
166,CTNND2
167,CUL3
168,CUX1
169,CXCR4
170,CYLD
171,CYP2C8
172,CYSLTR2
173,DAXX
174,DCAF12L2
175,DCC
176,DCTN1
177,DDB2
178,DDIT3
179,DDR2
180,DDX10
181,DDX3X
182,DDX5
183,DDX6
184,DEK
185,DGCR8
186,DICER1
187,DNAJB1
188,DNM2
189,DNMT3A
190,DROSHA
191,EBF1
192,ECT2L
193,EED
194,EGFR
195,EIF1AX
196,EIF3E
197,EIF4A2
198,ELF3
199,ELF4
200,ELK4
201,ELL
202,ELN
203,EML4
204,EP300
205,EPAS1
206,EPHA3
207,EPHA7
208,EPS15
209,ERBB2
210,ERBB3
211,ERBB4
212,ERC1
213,ERCC2
214,ERCC3
215,ERCC4
216,ERCC5
217,ERG
218,ESR1
219,ETNK1
220,ETV1
221,ETV4
222,ETV5
223,ETV6
224,EWSR1
225,EXT1
226,EXT2
227,EZH2
228,EZR
229,FADD
230,FAM131B
231,FAM135B
232,FAM47C
233,FANCA
234,FANCC
235,FANCD2
236,FANCE
237,FANCF
238,FANCG
239,FAS
240,FAT1
241,FAT3
242,FAT4
243,FBLN2
244,FBXO11
245,FBXW7
246,FCGR2B
247,FCRL4
248,FEN1
249,FES
250,FEV
251,FGFR1
252,FGFR1OP
253,FGFR2
254,FGFR3
255,FGFR4
256,FH
257,FHIT
258,FIP1L1
259,FKBP9
260,FLCN
261,FLI1
262,FLNA
263,FLT3
264,FLT4
265,FNBP1
266,FOXA1
267,FOXL2
268,FOXO1
269,FOXO3
270,FOXO4
271,FOXP1
272,FOXR1
273,FSTL3
274,FUBP1
275,FUS
276,GAS7
277,GATA1
278,GATA2
279,GATA3
280,GLI1
281,GMPS
282,GNA11
283,GNAQ
284,GNAS
285,GOLGA5
286,GOLPH3
287,GOPC
288,GPC3
289,GPC5
290,GPHN
291,GRIN2A
292,GRM3
293,GSK3B
294,GTF2I
295,H3F3A
296,H3F3B
297,HERPUD1
298,HEY1
299,HGF
300,HIF1A
301,HIP1
302,HIST1H3B
303,HIST1H4I
304,HLA-A
305,HLF
306,HMGA1
307,HMGA2
308,HMGN2P46
309,HNF1A
310,HNRNPA2B1
311,HOOK3
312,HOXA11
313,HOXA13
314,HOXA9
315,HOXC11
316,HOXC13
317,HOXD11
318,HOXD13
319,HRAS
320,HSP90AA1
321,HSP90AB1
322,ID3
323,IDH1
324,IDH2
325,IGF2BP2
326,IGH
327,IGK
328,IGL
329,IKBKB
330,IKZF1
331,IKZF3
332,IL2
333,IL21R
334,IL6ST
335,IL7R
336,IRF4
337,IRS4
338,ISX
339,ITGAV
340,ITK
341,JAK1
342,JAK2
343,JAK3
344,JAZF1
345,JUN
346,KAT6A
347,KAT6B
348,KAT7
349,KCNJ5
350,KDM5A
351,KDM5C
352,KDM6A
353,KDR
354,KDSR
355,KEAP1
356,KIAA1549
357,KIF5B
358,KIT
359,KLF4
360,KLF6
361,KLK2
362,KMT2A
363,KMT2C
364,KMT2D
365,KNL1
366,KNSTRN
367,KRAS
368,KTN1
369,LARP4B
370,LASP1
371,LATS1
372,LATS2
373,LCK
374,LCP1
375,LEF1
376,LEPROTL1
377,LHFPL6
378,LIFR
379,LMNA
380,LMO1
381,LMO2
382,LPP
383,LRIG3
384,LRP1B
385,LSM14A
386,LYL1
387,LYN
388,LZTR1
389,MACC1
390,MAF
391,MAFB
392,MALAT1
393,MALT1
394,MAML2
395,MAP2K1
396,MAP2K2
397,MAP2K4
398,MAP3K1
399,MAP3K13
400,MAPK1
401,MAX
402,MB21D2
403,MDM2
404,MDM4
405,MDS2
406,MECOM
407,MED12
408,MEN1
409,MET
410,MGMT
411,MITF
412,MLF1
413,MLH1
414,MLLT1
415,MLLT10
416,MLLT11
417,MLLT3
418,MLLT6
419,MN1
420,MNX1
421,MPL
422,MRTFA
423,MSH2
424,MSH6
425,MSI2
426,MSN
427,MTCP1
428,MTOR
429,MUC1
430,MUC16
431,MUC4
432,MUC6
433,MUTYH
434,MYB
435,MYC
436,MYCL
437,MYCN
438,MYD88
439,MYH11
440,MYH9
441,MYO5A
442,MYOD1
443,N4BP2
444,NAB2
445,NACA
446,NBEA
447,NBN
448,NCKIPSD
449,NCOA1
450,NCOA2
451,NCOA4
452,NCOR1
453,NCOR2
454,NDRG1
455,NF1
456,NF2
457,NFATC2
458,NFE2L2
459,NFIB
460,NFKB2
461,NFKBIE
462,NIN
463,NKX2-1
464,NONO
465,NOTCH1
466,NOTCH2
467,NPM1
468,NR2F2
469,NR4A3
470,NRAS
471,NRG1
472,NSD1
473,NSD2
474,NSD3
475,NT5C2
476,NTHL1
477,NTRK1
478,NTRK2
479,NTRK3
480,NUMA1
481,NUP214
482,NUP98
483,NUTM1
484,NUTM2B
485,NUTM2D
486,OLIG2
487,OMD
488,P2RY8
489,PABPC1
490,PAFAH1B2
491,PALB2
492,PATZ1
493,PAX3
494,PAX5
495,PAX7
496,PAX8
497,PBRM1
498,PBX1
499,PCBP1
500,PCM1
501,PDCD1LG2
502,PDE4DIP
503,PDGFB
504,PDGFRA
505,PDGFRB
506,PER1
507,PHF6
508,PHOX2B
509,PICALM
510,PIK3CA
511,PIK3CB
512,PIK3R1
513,PIK3R2
514,PIK3R3
515,PIM1
516,PLAG1
517,PLCG1
518,PLEC
519,PML
520,PMS1
521,PMS2
522,POLD1
523,POLE
524,POLG
525,POLQ
526,POLR2A
527,POT1
528,POU2AF1
529,POU5F1
530,PPARG
531,PPFIBP1
532,PPM1D
533,PPP2R1A
534,PPP6C
535,PRCC
536,PRDM1
537,PRDM16
538,PRDM2
539,PREX2
540,PRF1
541,PRKACA
542,PRKAR1A
543,PRKCB
544,PRKD1
545,PRPF40B
546,PRRX1
547,PSIP1
548,PTCH1
549,PTEN
550,PTK6
551,PTPN11
552,PTPN13
553,PTPN6
554,PTPRB
555,PTPRC
556,PTPRD
557,PTPRK
558,PTPRT
559,PWWP2A
560,QKI
561,RABEP1
562,RAC1
563,RAD17
564,RAD21
565,RAD50
566,RAD51B
567,RAD51C
568,RAF1
569,RALGDS
570,RANBP2
571,RAP1B
572,RAP1GDS1
573,RARA
574,RB1
575,RBM10
576,RBM15
577,RECQL4
578,REL
579,RET
580,RFWD3
581,RGPD3
582,RGS7
583,RHOA
584,RHOH
585,RMI2
586,RNF213
587,RNF43
588,ROBO2
589,ROS1
590,RPL10
591,RPL22
592,RPL5
593,RPN1
594,RRAS2
595,RSPO2
596,RSPO3
597,RUNX1
598,RUNX1T1
599,RXRA
600,S100A7
601,SALL4
602,SBDS
603,SDC4
604,SDHA
605,SDHAF2
606,SDHB
607,SDHC
608,SDHD
609,SEPT5
610,SEPT6
611,SEPT9
612,SET
613,SETBP1
614,SETD1B
615,SETD2
616,SETDB1
617,SF3B1
618,SFPQ
619,SFRP4
620,SGK1
621,SH2B3
622,SH3GL1
623,SHTN1
624,SIRPA
625,SIX1
626,SIX2
627,SKI
628,SLC34A2
629,SLC45A3
630,SMAD2
631,SMAD3
632,SMAD4
633,SMARCA4
634,SMARCB1
635,SMARCD1
636,SMARCE1
637,SMC1A
638,SMO
639,SND1
640,SNX29
641,SOCS1
642,SOS1
643,SOX2
644,SOX21
645,SPECC1
646,SPEN
647,SPOP
648,SRC
649,SRGAP3
650,SRSF2
651,SRSF3
652,SS18
653,SS18L1
654,SSX1
655,SSX2
656,SSX4
657,STAG1
658,STAG2
659,STAT3
660,STAT5B
661,STAT6
662,STIL
663,STK11
664,STRN
665,SUB1
666,SUFU
667,SUZ12
668,SYK
669,TAF15
670,TAL1
671,TAL2
672,TBL1XR1
673,TBX3
674,TCEA1
675,TCF12
676,TCF3
677,TCF7L2
678,TCL1A
679,TEC
680,TENT5C
681,TERT
682,TET1
683,TET2
684,TFE3
685,TFEB
686,TFG
687,TFPT
688,TFRC
689,TGFBR2
690,THRAP3
691,TLX1
692,TLX3
693,TMEM127
694,TMPRSS2
695,TMSB4X
696,TNC
697,TNFAIP3
698,TNFRSF14
699,TNFRSF17
700,TNRC18
701,TOP1
702,TP53
703,TP63
704,TPM3
705,TPM4
706,TPR
707,TRA
708,TRAF7
709,TRB
710,TRD
711,TRIM24
712,TRIM27
713,TRIM33
714,TRIP11
715,TRRAP
716,TSC1
717,TSC2
718,TSHR
719,U2AF1
720,UBR5
721,USP44
722,USP6
723,USP8
724,USP9X
725,VAV1
726,VHL
727,VTI1A
728,WAS
729,WDCP
730,WIF1
731,WNK2
732,WRN
733,WT1
734,WWTR1
735,XPA
736,XPC
737,XPO1
738,YAP1
739,YWHAE
740,ZBTB16
741,ZCCHC8
742,ZEB1
743,ZFHX3
744,ZMYM2
745,ZMYM3
746,ZNF331
747,ZNF384
748,ZNF429
749,ZNF479
750,ZNF521
751,ZNRF3
752,ZRSR2
861,SOX9
878,H3-3A
907,MGA
930,MEF2B
932,HLA-B
939,RASA1
949,H3C2
952,NIPBL
959,KLF5
962,RPS6KA3
963,CADM2
967,PARP4
970,NFKBIA
974,ZNF750
981,BRD7
991,ATF7IP
993,PRKD2
996,SP140
997,TAF1L
1000,GNA13
1001,ZFP36L1
1005,PLXNC1
1006,AJUBA
1015,FOXA2
1018,CNOT9
1027,POU2F2
1028,INPPL1
1036,SOX17
1038,CMTR2
1039,ZNF626
1041,RHPN2
1045,FAM174B
1046,PTPN14
1049,ZBTB20
1052,KLHL6
1055,ING1
1059,EPHA2
1062,ZNF208
1063,KMT2B
1065,TFAP4
1070,USP7
1073,TRIM49C
1074,ZNF721
1076,SAMHD1
1081,ZNF93
1082,MED23
1084,HCAR3
1086,COL6A3
1088,ZNF680
1089,TGIF1
1091,FLG
1101,CASZ1
1104,EFTUD2
1106,ZNF814
1107,LDB1
1112,DUSP16
1113,DHX9
1115,PER3
1116,SIN3A
1117,MAP2K7
1122,IRF1
1124,RPS3A
1125,BMP6
1134,DIS3
1136,DTX1
1145,TCF4
1146,CD58
1147,HSPG2
1150,EGR2
1152,RBM39
1157,NXF1
1160,KDM3B
1161,PRKCD
1163,IRAK1
1165,RRAGC
1166,ZXDB
1167,PTMA
1168,MYEOV
1170,PCMTD1
1174,FBN2
1178,GNAI2
1179,HLA-DQA1
1181,TGFBR1
1182,PPP3CA
1185,ZNF90
1187,SDCBP
1188,ACSM3
1190,SUSD2
1193,FGD1
1196,DOT1L
1197,KMT5A
1198,TOP2A
1204,RRN3
1206,NKTR
1211,ANKRD11
1216,PSPC1
1217,ZNF395
1219,GPAA1
1221,UBXN11
1222,PRUNE2
1223,DSP
1224,RELA
1226,ZBTB7B
1229,NT5C3A
1236,NCAPH
1237,NRK
1239,PI4KA
1240,RIPK1
1243,FAT2
1245,ZCRB1
1248,RASA2
1252,CSPG4
1253,U2AF2
1258,RBM38
1269,RNF6
1270,TRAF3
1278,ADAMTS9
1280,HDAC4
1282,RBFOX1
1284,ABCC4
1286,ALPK1
1287,ZNF780A
1289,NPRL2
1292,CCNT1
1295,NVL
1299,LPA
1300,FMN2
1302,PEG3
1303,TRMT12
1305,SMARCA2
1308,COL6A6
1311,PTPN3
1312,HLA-C
1313,ZBTB48
1317,MDGA2
1318,MARK2
1319,PDZD2
1325,ATG7
1326,ESRRA
1338,CCAR1
1341,FGD5
1343,WNT1
1345,MCM7
1349,REST
1359,MIB2
1365,UBE2A
1368,CHRDL1
1378,FNDC3B
1379,CHD7
1381,H4C9
1382,ZNF274
1590,AURKA
1591,AURKB
1592,AXL
1599,CDK8
1600,CDKN2B
1601,CHEK1
1602,CRKL
1608,EPHB1
1612,FGF19
1613,FGF3
1614,FGF4
1616,FLT1
1623,IGF1R
1624,IKBKE
1626,INPP4B
1627,IRS2
1632,MCL1
1634,MRE11
1635,MSH3
1643,PDCD1
1652,RAD51
1657,RICTOR
1658,RPTOR
1674,ALOX12B
1677,BCL2L1
1687,DNMT1
1690,EPHA5
1695,ERRFI1
1706,H1-2
1707,H3-3B
1708,HDAC1
1711,INHBA
1716,MAP3K14
1719,MST1R
1723,NOTCH3
1724,NUP93
1725,PARP1
1727,PIK3C2G
1728,PIK3CG
1730,PLCG2
1734,PRKCI
1735,PRKN
1738,RAD51D
1739,RAD52
1740,RAD54L
1748,STAT5A
1752,TEK
1754,TRAF2
1755,VEGFA
1757,XRCC2
1760,ABRAXAS1
1763,AGO2
1768,ARID5B
1772,BABAM1
1773,BBC3
1774,BCL2L11
1775,BCL2L2
1780,CARM1
1782,CCNQ
1783,CD22
1784,CD276
1786,CD70
1788,CDC42
1789,CENPA
1793,COP1
1794,CSDE1
1795,CTLA4
1798,DCUN1D1
1802,DNMT3B
1804,DUSP22
1805,DUSP4
1806,E2F3
1808,EGFL7
1810,EIF4E
1814,ELOC
1815,EMSY
1816,EPCAM
1817,ERF
1819,EZH1
1822,FANCL
1824,FGF10
1825,FGF14
1826,FGF23
1827,FGF6
1832,FYN
1833,GNA12
1834,GNB1
1835,GPS2
1836,GREM1
1837,H1-3
1838,H1-4
1839,H2AC11
1840,H2AC16
1841,H2AC17
1842,H2AC6
1843,H2BC11
1844,H2BC12
1845,H2BC17
1846,H2BC4
1847,H2BC5
1848,H3-4
1849,H3-5
1850,H3C1
1851,H3C10
1852,H3C11
1853,H3C12
1854,H3C13
1855,H3C14
1856,H3C3
1857,H3C4
1858,H3C6
1859,H3C7
1860,H3C8
1862,HDAC7
1868,HOXB13
1870,ICOSLG
1871,IFNGR1
1872,IGF1
1873,IGF2
1874,IL10
1875,INHA
1876,INPP4A
1878,INSR
1880,IRF8
1881,IRS1
1882,JARID2
1894,MAPK3
1895,MAPKAP1
1896,MDC1
1902,MSI1
1903,MST1
1904,MTAP
1906,NCOA3
1907,NCSTN
1908,NEGR1
1909,NKX3-1
1910,NOTCH4
1913,NUF2
1917,PAK1
1918,PAK5
1923,PDK1
1924,PDPK1
1925,PGR
1926,PIK3C3
1927,PIK3CD
1930,PLK2
1931,PMAIP1
1934,PNRC1
1935,PPP4R2
1936,PRDM14
1938,PTP4A1
1939,PTPN2
1941,PTPRS
1943,RAB35
1944,RAC2
1947,RECQL
1948,RHEB
1949,RIT1
1950,RPS6KA4
1951,RPS6KB2
1953,RRAS
1954,RTEL1
1956,RYBP
1957,SESN1
1958,SESN2
1959,SESN3
1962,SH2D1A
1963,SHOC2
1964,SHQ1
1965,SLX4
1969,SMC3
1970,SMYD3
1973,SPRED1
1975,STK19
1976,STK40
1978,TAP1
1979,TAP2
1986,TP53BP1
1988,TRAF5
1989,TYK2
1992,UPF1
1995,VTCN1
1996,XBP1
1997,XIAP
1999,YES1
2000,ZNF217
2003,ACTG1
2005,ADGRA2
2007,AGO1
2008,ALB
2009,APLNR
2010,ARFRP1
2011,ARHGEF28
2012,ARID3A
2013,ARID3B
2014,ARID3C
2015,ARID4A
2016,ARID4B
2017,ARID5A
2020,ATP6AP1
2021,ATP6V1B2
2022,ATXN2
2023,ATXN7
2024,BACH2
2027,BRSK1
2030,CAD
2033,CARS1
2035,CCN6
2039,CEP43
2045,CRBN
2049,CTR9
2050,CUL4A
2051,CYP19A1
2057,EGR1
2062,EP400
2063,EPHB4
2064,EPOR
2067,ESCO2
2068,ETAA1
2069,ETS1
2071,EZHIP
2076,FOXF1
2078,FRS2
2080,FURIN
2081,GAB1
2082,GAB2
2083,GABRA6
2085,GATA4
2086,GATA6
2087,GID4
2092,H1-5
2093,H2BC8
2098,HIRA
2107,HSD3B1
2113,IL3
2115,IRF2
2117,KBTBD4
2119,KEL
2122,KSR2
2126,LTB
2127,LTK
2129,MAD2L2
2130,MAP3K7
2131,MEF2C
2132,MERTK
2133,MGAM
2134,MKI67
2137,MOB3B
2138,MPEG1
2144,NADK
2147,NFE2
2157,PDS5B
2159,PGBD5
2161,PIGA
2162,PIK3C2B
2165,PPP2R2A
2169,PRKDC
2172,PTPN1
2174,PTPRO
2178,RELN
2182,ROBO1
2188,SCG5
2190,SERPINB3
2191,SERPINB4
2192,SETD1A
2194,SETD3
2195,SETD4
2196,SETD5
2197,SETD6
2198,SETD7
2199,SETDB2
2202,SLFN11
2203,SMARCA1
2205,SMG1
2206,SOCS3
2207,SOX10
2209,SPRTN
2215,STAT4
2216,TAF1
2219,TET3
2226,TRG
2230,TRIP13
2232,VAV2
2238,ZBTB7A
2243,ZNF703
2245,ABCB1
2248,ACTB
2249,ADARB2
2250,ADGRG4
2251,ADHFE1
2253,AGGF1
2254,AIP
2256,AKT1S1
2257,ALDH1L2
2259,ALOX15B
2260,ALOX5
2261,ANKRD26
2262,APEX1
2263,APH1A
2265,ASMTL
2267,ATG5
2269,ATRIP
2270,BAALC
2273,BTLA
2274,CASR
2278,CCNB3
2279,CCT6B
2280,CD19
2281,CD36
2282,CDH2
2283,CDH4
2284,CDKN1C
2287,CHN1
2288,CHTF8
2289,CILK1
2290,CKS1B
2295,CPS1
2298,CSF1
2299,CTDNEP1
2300,CYP17A1
2301,DAZAP1
2303,DDR1
2304,DDX4
2305,DDX41
2306,DHX15
2307,DKK1
2308,DKK2
2309,DKK3
2310,DKK4
2311,DPYD
2312,DUSP2
2313,DUSP9
2314,ECSIT
2316,EIF2B1
2317,ELL2
2318,ELP2
2319,ERCC1
2320,EXOSC6
2322,FAF1
2323,FANCI
2324,FANCM
2326,FBXO31
2327,FBXW2
2328,FGF1
2329,FGF12
2330,FGF2
2331,FGF5
2332,FGF7
2333,FGF8
2334,FGF9
2336,FLYWCH1
2338,FOLH1
2339,FOLR1
2340,FOXN4
2341,FSTL1
2342,FZR1
2343,GADD45B
2344,GEN1
2348,GRB7
2349,GTSE1
2350,H3C15
2351,H3P6
2352,H4C6
2353,HDAC2
2354,HFE
2355,HNF1B
2358,HOXA3
2359,HSD17B2
2360,HTATIP2
2361,ID1
2362,IFNAR1
2364,IKZF2
2367,INPP5D
2368,INTS6
2369,IQGAP1
2371,ITPKB
2376,KDM2B
2377,KDM4C
2378,KDM5D
2379,KLF2
2380,KLF3
2387,LGR5
2390,LRP5
2391,LRP6
2392,LRRK2
2393,MAGED1
2394,MAGI2
2395,MAL2
2397,MAP3K21
2398,MAP3K6
2399,MAP4K4
2400,MBD4
2401,MBD6
2403,MEF2D
2404,MIB1
2405,MIDEAS
2406,MKNK1
2407,MLH3
2410,MS4A1
2412,MTHFD2
2413,MYBL1
2414,MYO18A
2417,NBEAP1
2423,NHERF1
2424,NOD1
2426,NQO1
2427,NUTM2A
2432,ONECUT2
2433,PAG1
2434,PAK3
2435,PARP2
2436,PARP3
2437,PASK
2439,PC
2440,PCLO
2441,PCSK7
2442,PDCD11
2443,PHF1
2444,PHF19
2445,PHLPP1
2446,PHLPP2
2448,POLH
2451,POU3F2
2452,POU3F4
2455,PPP1CB
2458,PRPF8
2459,PRSS1
2460,PRSS8
2461,PSMB2
2463,PTK7
2469,PUM1
2472,RASGEF1A
2473,REV3L
2474,RIOK2
2476,RNASEH2A
2477,RNASEH2B
2478,RNF217-AS1
2480,RPS15
2481,RPS6KB1
2483,RUNX2
2484,S1PR2
2486,SAMD9
2487,SAMD9L
2489,SEC31A
2490,SEPTIN5
2491,SEPTIN6
2492,SEPTIN9
2493,SERP2
2494,SF3B2
2496,SFRP1
2497,SFRP2
2500,SLC1A2
2502,SLIT2
2503,SLIT3
2504,SNCAIP
2507,SOCS2
2508,SQSTM1
2509,SRP72
2511,STAT1
2512,STAT2
2515,SZT2
2516,TACSTD2
2519,TCL1B
2521,TERC
2525,TIGAR
2526,TIPARP
2527,TLE1
2528,TLE2
2529,TLE3
2530,TLE4
2531,TLL2
2532,TMEM30A
2533,TMSB4XP8
2534,TNFRSF11A
2535,TNFSF13
2536,TONSL
2539,TRIB3
2542,TTL
2543,TUSC3
2544,TYRO3
2545,UBA1
2547,UBTF
2548,UCHL1
2549,USP1
2552,WDR90
2553,WEE1
2554,WWP1
2555,XRCC1
2556,YPEL5
2558,YY1
2559,YY1AP1
2562,ZFP36L2
2563,ZNF24
2564,ZNF292
